*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_PIIO_v1_0
*Date=11:00:53
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
386;;;23.7109;-2.21;0;Bottom;Copper Fill42
387;;diode-1n4001;7.85932;-77.775;180;Bottom;1N4007
388;;;118.364;-52.1083;0;Bottom;Copper Fill127
389;;;24.263;-88.4301;90;Bottom;TXT1
390;;;81.3357;-94.7713;0;Bottom;TXT1
391;;;14.8209;-11.8874;0;Bottom;Copper Fill300
392;;;29.1318;-35.23;0;Bottom;Via310
393;;;42.1593;-60.0521;90;Bottom;TXT1
394;;;4.3053;-32.3344;0;Bottom;Copper Fill303
395;;;71.5796;-21.4543;0;Bottom;TXT1
396;;;43.1341;-32.2433;0;Bottom;TXT1
397;;;103.101;-50.0235;0;Bottom;TXT1
398;;;51.3704;-91.1669;0;Bottom;IMG22
399;;;7.92977;-15.5686;0;Bottom;TXT1
400;10k;THT;51.9565;-74.9175;90;Bottom;10k?
401;;;102.533;-7.65383;-90;Bottom;TXT1
402;;;113.834;-22.8969;0;Bottom;TXT1
403;;;30.3046;-32.2493;0;Bottom;TXT1
404;;;51.392;-8.16263;-90;Bottom;TXT1
405;;;112.303;-83.2149;0;Bottom;TXT1
406;;;48.0651;-32.1141;0;Bottom;TXT1
407;;;42.1353;-67.8746;90;Bottom;TXT1
408;;THT;44.3718;-91.745;0;Bottom;UART247
409;;;100.452;-87.6057;0;Bottom;TXT1
410;;;50.4043;-29.8325;0;Bottom;Via347
411;;;20.574;-40.6783;0;Bottom;Copper Fill172
412;;;84.1565;-17.3199;0;Bottom;TXT1
413;;;119.443;-5.38201;-90;Bottom;TXT2
414;;;114.795;-98.0696;0;Bottom;Copper Fill83
415;;;107.554;-37.7699;0;Bottom;Via339
416;;;111.956;-87.8824;0;Bottom;TXT1
417;;;7.14876;-30.3578;-90;Bottom;TXT2
418;;;118.415;-57.1883;0;Bottom;Copper Fill288
419;;;93.6269;-61.7449;0;Bottom;TXT1
420;;;65.0748;-5.1183;0;Bottom;Copper Fill277
421;;;32.2879;-93.1503;0;Bottom;TXT1
422;;;17.018;-3.2387;0;Bottom;Copper Fill283
423;;;105.225;-2.75739;0;Bottom;TXT2
424;;ksa_sealed_tac_switch;8.17682;-60.2772;180;Bottom;S25
425;;;111.99;-70.6278;0;Bottom;TXT1
426;;;31.8269;-91.9216;0;Bottom;IMG1
427;;;83.1166;-71.7666;-90;Bottom;TXT1
428;;;101.919;-35.15;0;Bottom;TXT1
429;;;113.005;-57.1883;0;Bottom;Copper Fill25
430;;;6.57013;-69.4955;0;Bottom;TXT1
431;;;12.4535;-64.1576;0;Bottom;TXT1
432;;;39.2918;-44.755;0;Bottom;Via303
433;;;97.3709;-19.1772;0;Bottom;Copper Fill3
434;;;46.0532;-73.1315;0;Bottom;TXT1
435;;;35.9757;-46.4277;-90;Bottom;TXT2
436;;THT;70.0893;-15.2275;-90;Bottom;J169
437;;;97.6565;-73.0679;0;Top;blkr43
438;;;23.7342;-56.679;0;Bottom;TXT1
439;4.7k;THT;46.7761;-74.7183;13.1912;Bottom;4k7?
440;;;103.632;-29.8452;0;Bottom;Copper Fill221
441;;;59.9529;-33.8777;0;Bottom;TXT2
442;;;18.3521;-23.5179;0;Top;blkr37
443;;;36.2585;-94.9962;0;Bottom;Copper Fill56
444;;dil14;62.7868;-74.6;180;Bottom;U1
445;;;11.6713;-97.0536;0;Bottom;Copper Fill51
446;;;4.3053;-28.5498;0;Bottom;Copper Fill91
447;10?F;100 mil [THT, tantalum];25.0043;-34.9125;180;Bottom;10uF
448;;;11.0039;-27.9573;0;Bottom;TXT1
449;;;98.3468;-96.19;0;Bottom;Via276
450;;;100.922;-3.80262;0;Top;blkr55
451;;;48.107;-67.1818;-0.999999;Bottom;IMG20
452;;;36.0604;-59.4864;-90;Bottom;TXT2
453;;;76.4182;-56.8365;-90;Bottom;TXT2
