*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_IO_v1_0
*Date=09:59:53
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
260;;THT;52.9167;-57.5256;-90;Bottom;GPIO
261;;;118.77;-79.4387;0;Bottom;Copper Fill95
262;;;26.2326;-70.2255;0;Bottom;Via35
263;;;10.7924;-91.8006;0;Bottom;IMG1
264;;;56.9241;-11.0152;0;Bottom;TXT1
265;;;37.1896;-91.517;0;Bottom;TXT1
266;;;82.2706;-28.3847;0;Bottom;Copper Fill141
267;;;3.15023;-22.1592;0;Bottom;TXT1
268;;;40.2785;-47.8866;0;Bottom;TXT1
269;;;98.8314;-63.5891;0;Bottom;Copper Fill41
270;;;78.9052;-47.0475;0;Bottom;TXT2
271;;;6.82667;-75.3746;0;Bottom;TXT1
272;;;103.082;-14.3455;0;Bottom;Via229
273;;;61.2242;-75.9167;90;Bottom;IMG13
274;;;51.3997;-94.6378;90;Bottom;TXT2
275;;;63.7117;-75.9406;0;Top;Pad14
276;;;90.6012;-65.71;0;Bottom;TXT1
277;;THT;11.6769;-26.7281;0;Bottom;UART237
278;;;37.7095;-44.476;-90;Bottom;TXT2
279;;;55.604;-82.3312;-90;Bottom;TXT1
280;;THT;83.82;-4.32667;180;Bottom;UART204
281;;;54.2381;-61.139;-90;Bottom;TXT2
282;;THT;84.0317;-96.8956;-90;Bottom;UART181
283;;;46.6137;-42.9849;0;Bottom;TXT2
284;;;108.59;-71.7358;90;Bottom;TXT2
285;;;37.1856;-3.5943;0;Bottom;Copper Fill74
286;220;THT;24.5534;-77.7515;-71.3428;Bottom;10k
287;;;65.6167;-8.31306;0;Bottom;Via271
288;;;97.8873;-53.1824;0;Bottom;TXT2
289;;;12.5349;-73.9142;0;Bottom;Copper Fill69
290;;THT;105.41;-32.8311;-90;Bottom;S7
291;;;36.4067;-65.7805;0;Bottom;Via72
292;;;67.7464;-15.418;0;Bottom;TXT2
293;;;99.6244;-79.3272;0;Top;Pad19
294;;;40.8305;-15.0878;0;Bottom;Copper Fill11
295;;;8.23136;-60.2118;0;Bottom;Pad39
296;;;85.0138;-67.5007;0;Bottom;Copper Fill106
297;;;82.657;-54.4374;0;Bottom;TXT1
298;;;73.9422;-74.5648;90;Bottom;TXT2
299;;;119.05;-68.0595;0;Bottom;Copper Fill175
300;;;119.05;-73.1395;0;Bottom;Copper Fill198
301;;;66.4364;-97.5715;-90;Bottom;TXT2
302;;THT;41.4867;-36.5706;90;Bottom;UART186
303;;;14.8167;-35.9356;0;Bottom;Via262
304;;;76.0857;-2.8704;0;Bottom;Copper Fill112
305;;;27.6285;-60.8541;-90;Bottom;TXT2
306;;;56.0917;-3.55053;0;Bottom;Via249
307;;;10.9509;-7.0688;90;Bottom;TXT1
308;;;37.1004;-88.2881;0;Bottom;Via5
309;;;17.0528;-44.6888;-90;Bottom;TXT2
310;;;78.8593;-52.0593;0;Bottom;TXT2
311;;;3.1496;-12.4843;0;Bottom;Copper Fill51
312;;;24.9767;-23.8706;0;Top;Pad27
313;;;38.2905;-4.6738;0;Bottom;Copper Fill72
314;;DIP (Dual Inline) [THT];70.1322;-29.5856;-90;Bottom;ULN2803A
315;;;4.6101;-97.1298;0;Bottom;Copper Fill34
316;;;18.2853;-23.8864;0;Bottom;TXT2
317;;;31.003;-3.41237;0;Bottom;TXT1
318;;THT;2.11667;-14.9806;180;Bottom;UART150
319;;;97.2312;-36.7159;0;Bottom;Copper Fill180
320;;;30.226;-43.528;-90;Bottom;TXT2
321;;;15.8557;-69.5714;0;Bottom;Via73
322;;;69.7707;-49.9163;-90;Bottom;TXT1
323;;THT;117.23;-96.8062;90;Bottom;J61
324;;;15.0271;-75.9959;0;Bottom;TXT2
325;;;62.2961;-37.938;0;Bottom;TXT1
326;;;102.235;-67.7547;0;Bottom;Copper Fill153
327;;;85.3048;-16.0167;0;Bottom;TXT1
328;;;2.11675;-90.2633;0;Bottom;Pad33
329;;;65.6167;-13.7105;0;Bottom;Via194
330;;;13.415;-7.02195;90;Bottom;TXT1
331;;;90.4748;-86.1443;0;Bottom;Copper Fill55
332;;;115.367;-88.6843;0;Bottom;Copper Fill64
333;;;77.5858;-37.8795;0;Bottom;TXT1
334;;;55.5978;-18.7233;-90;Bottom;TXT1
335;;;32.5612;-28.1974;0;Bottom;TXT1
336;;;47.5545;-84.8306;0;Bottom;Via27
337;;;9.35557;-90.5888;0;Bottom;TXT1
338;;;19.8349;-31.6429;-90;Bottom;TXT1
339;;;117.687;-79.3978;0;Top;Pad20
340;;;111.735;-73.1395;0;Bottom;Copper Fill203
341;;;118.402;-36.373;0;Bottom;Copper Fill101
342;;;29.6217;-45.7511;-90;Bottom;TXT1
343;;;61.1718;-79.1156;0;Bottom;Hole127
344;;;47.871;-32.1262;0;Bottom;TXT1
345;;THT;87.2772;-44.4022;180;Bottom;J112
346;;;63.0767;-13.7105;0;Bottom;Via181
347;;;16.1559;-31.3675;90;Bottom;TXT1
348;;;74.7042;-8.95511;0;Top;blkr52
349;;;92.456;-2.0576;0;Bottom;Copper Fill2
350;;;26.1761;-64.9063;-90;Bottom;TXT2
351;;;5.96886;-81.8013;0;Bottom;TXT2
352;;;63.514;-29.7117;0;Bottom;Pad41
353;;;26.6954;-22.0347;0;Bottom;Copper Fill126
354;;;42.9412;-47.8479;0;Bottom;TXT1
355;;;2.17549;-4.11504;90;Bottom;TXT2
356;;;97.9499;-16.0497;0;Bottom;TXT1
357;;;68.7789;-53.831;90;Bottom;IMG2
358;;THT;71.4446;-93.1561;0;Bottom;UART174
359;;;7.01277;-30.1944;-90;Bottom;TXT1
360;;;6.30287;-47.0362;0;Top;blkr22
361;;;98.9965;-8.052;0;Bottom;Copper Fill14
362;;;48.0487;-77.3113;-90;Bottom;TXT2
363;;300 mil [THT];20.9079;-73.0458;-90;Bottom;1N4007
364;;;99.4949;-87.3265;90;Bottom;TXT1
365;;;101.869;-24.2352;0;Bottom;TXT1
366;;;87.7272;-1.55387;0;Bottom;TXT1
367;;;95.6143;-18.7903;-90;Bottom;TXT1
368;;;53.5305;-27.5846;0;Bottom;Copper Fill161
369;;;82.5797;-44.2915;0;Bottom;TXT1
370;;;106.206;-18.077;0;Bottom;TXT2
371;;;107.429;-1.0162;0;Bottom;Copper Fill197
372;;THT;74.8594;-3.90333;-90;Bottom;UART201
373;;;107.094;-68.1902;0;Bottom;TXT1
374;;;57.8084;-13.8553;0;Bottom;TXT2
375;;;61.1873;-81.7264;0;Bottom;TXT2
376;;;18.9796;-35.8651;0;Bottom;TXT2
377;;;26.8817;-77.8456;0;Top;Pad11
378;;;26.6012;-28.0129;-90;Bottom;TXT1
379;;;56.7268;-65.1455;0;Bottom;Hole128
380;;THT;99.5841;-84.5181;90;Bottom;UART143
381;;;73.7387;-93.0931;0;Bottom;TXT2
382;;;84.6709;-53.6704;0;Bottom;Copper Fill148
383;;;71.3851;-69.5647;0;Bottom;TXT1
384;;;84.0245;-98.9204;0;Top;blkr3
385;;;28.3131;-67.7826;-90;Bottom;TXT1
386;;;68.2243;-15.4469;0;Bottom;TXT1
387;;;85.3017;-21.9655;0;Bottom;Via246
388;;;75.2149;-62.1606;-90;Bottom;TXT1
389;;;70.103;-27.8733;-90;Bottom;TXT1
390;;;83.8956;-0.849166;0;Bottom;TXT1
391;;;29.967;-77.7538;-90;Bottom;IMG13
392;;;46.4954;-69.655;0;Bottom;TXT2
393;;;39.5422;-13.235;0;Bottom;TXT2
394;;;26.8296;-36.4598;-90;Bottom;IMG13
395;;;109.314;-5.71427;0;Bottom;Pad29
396;;;62.9124;-1.75137;0;Bottom;TXT2
397;;;29.9593;-86.2078;0;Bottom;Copper Fill177
398;;;62.6041;-31.4008;-90;Bottom;TXT1
399;;;54.9656;-3.5943;0;Bottom;Copper Fill77
400;;;83.9089;-66.3958;0;Bottom;Copper Fill104
401;;;68.1567;-13.7105;0;Bottom;Via195
402;;;3.1496;-20.1043;0;Bottom;Copper Fill49
403;;;99.5553;-80.7722;0;Bottom;Copper Fill91
404;;;53.5688;-83.6061;-90;Bottom;IMG7
405;;;67.9577;-74.2444;0;Bottom;Copper Fill116
406;;;100.541;-16.0497;0;Bottom;TXT1
407;;;42.9875;-19.4385;-90;Bottom;TXT1
408;;;47.8367;-34.0305;0;Bottom;Via219
409;;;77.8441;-31.26;-90;Bottom;TXT1
410;;;109.42;-5.75698;0;Bottom;TXT1
411;;;42.138;-6.05048;0;Bottom;IMG14
412;;;63.0765;-4.18575;0;Bottom;Hole108
413;;;64.789;-37.9614;0;Bottom;TXT1
414;;;3.32295;-63.3879;0;Bottom;TXT2
415;;;100.542;-65.7806;0;Top;Pad16
416;;;102.349;-1.0162;0;Bottom;Copper Fill165
417;;;98.0017;-21.9655;0;Bottom;Via230
418;;;53.7134;-82.6369;-90;Bottom;TXT1
419;;;99.3892;-18.2968;-90;Bottom;TXT2
420;;;118.138;-39.1529;0;Top;blkr51
421;;;86.7128;-25.1406;0;Top;Pad21
422;;;107.668;-62.3799;-90;Bottom;TXT2
423;;;48.9543;-60.77;-90;Bottom;TXT2
424;;;55.4101;-20.2948;0;Bottom;Copper Fill79
425;;;14.7701;-56.1342;0;Bottom;Copper Fill83
426;;THT;69.7794;-3.90333;-90;Bottom;UART200
427;;;68.2696;-11.9467;0;Top;blkr53
428;;;97.456;-62.8895;0;Bottom;TXT2
429;;;72.8346;-31.3305;-90;Bottom;TXT1
430;;;97.7867;-1.56319;0;Bottom;TXT1
431;;THT;8.46667;-98.1656;90;Bottom;J139
432;;;78.6732;-67.2738;-90;Bottom;TXT2
433;;;63.837;-9.79228;0;Bottom;TXT1
434;;;36.4067;-82.2906;0;Bottom;Via254
435;;;76.0222;-79.4387;0;Bottom;Copper Fill87
436;;;31.9617;-79.7506;0;Bottom;Via53
437;;;68.1567;-21.3305;0;Bottom;Via185
